short     ,full                       ,banned
adj       ,adjektiv                   ,     0
adv       ,adverbium                  ,     0
akt       ,aktiv                      ,     0
art       ,artikel                    ,     1
best      ,bestemt_form               ,     0
fk        ,fælleskøn                  ,     0
flerord   ,flerordsforbindelse        ,     1
fork      ,forkortelse                ,     1
formsubj  ,formelt_subjekt            ,     1
gen       ,genitiv                    ,     1
iflerord  ,del_af_flerordsforbindelse ,     1
imp       ,imperativ                  ,     0
inf       ,infinitiv                  ,     0
infmærke  ,infinitivmærke             ,     1
itk       ,intetkøn                   ,     0
kardinal  ,kardinalform               ,     1
kompar    ,komparativ                 ,     0
lydord    ,lydord                     ,     1
nom       ,nominal                    ,     1
obl       ,oblik                      ,     0
ordinal   ,ordinalform                ,     1
part      ,participium                ,     0
pass      ,passiv                     ,     0
perf      ,perfektiv                  ,     0
pl        ,pluralis                   ,     0
præfiks   ,præfiks                    ,     1
pron      ,pronomen                   ,     0
prop      ,proprium                   ,     1
præp      ,præposition                ,     0
præs      ,præsens                    ,     0
præt      ,præteritum                 ,     0
sb        ,substantiv                 ,     0
sg        ,singularis                 ,     0
sms       ,sammensætningsform         ,     1
suffiks   ,suffiks                    ,     1
superl    ,superlativ                 ,     0
symbol    ,symbol                     ,     1
talord    ,talord                     ,     0
ubest     ,ubestemt                   ,     0
udråbsord ,udråbsord                  ,     1
vb        ,verbum                     ,     0
